title,kind,estMonthly,startupCost,hoursPerWeek,notes,url
Etsy POD – Goth – Set A,passive,120,10,2.0,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Set B,passive,180,0,1.0,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Set C,passive,150,0,2.0,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Micro,passive,60,15,0.5,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Starter,passive,180,0,1.5,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Deluxe,passive,45,25,1.5,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Bundle,passive,60,0,1.5,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Seasonal,passive,25,0,1.5,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Collab,passive,90,15,1.0,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Goth – Limited,active,120,15,3.0,Batch 3 assets/week for goth. Automate posts.,
Etsy POD – Afrofuturist – Set A,active,35,0,1.0,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Set B,passive,75,0,1.0,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Set C,passive,120,0,3.0,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Micro,passive,180,10,2.0,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Starter,passive,120,40,2.0,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Deluxe,passive,90,40,0.5,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Bundle,active,180,25,0.5,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Seasonal,passive,45,15,1.0,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Collab,passive,60,10,1.5,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Afrofuturist – Limited,passive,25,0,2.0,Batch 3 assets/week for afrofuturist. Automate posts.,
Etsy POD – Disability Pride – Set A,passive,150,0,2.0,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Set B,passive,90,40,1.0,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Set C,active,35,0,0.5,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Micro,active,150,0,1.5,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Starter,passive,45,40,1.5,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Deluxe,active,25,0,3.0,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Bundle,passive,180,0,1.0,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Seasonal,active,75,0,3.0,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Collab,passive,45,40,1.5,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Disability Pride – Limited,passive,25,15,1.5,Batch 3 assets/week for disability pride. Automate posts.,
Etsy POD – Queer Joy – Set A,passive,150,0,1.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Set B,passive,25,0,1.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Set C,active,35,40,2.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Micro,active,120,10,1.5,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Starter,active,90,10,0.5,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Deluxe,active,180,0,1.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Bundle,active,25,10,1.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Seasonal,active,60,0,2.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Collab,active,35,10,3.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Queer Joy – Limited,passive,75,15,3.0,Batch 3 assets/week for queer joy. Automate posts.,
Etsy POD – Minimalist Witch – Set A,passive,60,40,1.0,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Set B,active,150,0,1.0,Batch 3 assets/week for minimalist witch. Automate posts.,
Etsy POD – Minimalist Witch – Set C,passive,75,40,2.0,Batch 3 assets/week for minimalist witch. Automate posts.,
